00:00:00  1645MB         | log started Tue Mar 20 12:44:27 2018
00:00:00  1649MB         | Arnold 5.0.1.3 [30b1489a] windows icc-17.0.2 oiio-1.7.15 osl-1.9.0 vdb-4.0.0 clm-1.0.3.513 rlm-12.2.2 2017/08/25 17:00:29
00:00:00  1648MB         | host application: MtoA 2.0.2.1 5bac7a4b (master) Maya 2018
00:00:00  1649MB         | running on STRONGBOX52, pid=11884
00:00:00  1649MB         |  1 x Intel(R) Core(TM) i7-6850K CPU @ 3.60GHz (6 cores, 12 logical) with 65448MB
00:00:00  1649MB         |  Windows 8 Professional (version 6.2, build 9200)
00:00:00  1647MB         |  soft limit for open files raised from 2048 to 2048
00:00:00  1645MB         |  
00:00:00  1645MB         | loading plugins from \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin ...
00:00:00  1646MB WARNING |  unable to load dynamic library \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin\alBlackbody.dll: The specified procedure could not be found.

00:00:00  1648MB WARNING |  alCache.dll was compiled against non-compatible Arnold 4.2.12.2
00:00:00  1646MB WARNING |  unable to load dynamic library \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin\alCel.dll: The specified procedure could not be found.

00:00:00  1647MB WARNING |  unable to load dynamic library \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin\alCellNoise.dll: The specified procedure could not be found.

00:00:00  1646MB WARNING |  alColorSpace.dll was compiled against non-compatible Arnold 4.2.12.2
00:00:00  1647MB WARNING |  alCombineColor.dll was compiled against non-compatible Arnold 4.2.12.2
00:00:00  1646MB WARNING |  alCombineFloat.dll was compiled against non-compatible Arnold 4.2.12.2
00:00:00  1648MB WARNING |  unable to load dynamic library \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin\alCurvature.dll: The specified procedure could not be found.

00:00:00  1648MB WARNING |  unable to load dynamic library \\jfpsohostorage\plugins$\Maya_Plugins\alShaders\bin\alFlake.dll: The specified procedure could not be found.

00:00:00  1647MB WARNING |  alInputScalar.dll was compiled against non-compatible Arnold 4.2.12.2
00:00:00  1645MB         | loading plugins from \\jfpsohostorage\plugins$\Maya_Plugins\Maya_2018\Yeti-v2.2.4\bin ...
00:00:00  1647MB         |  pgYetiArnold.dll: pgYetiArnold uses Arnold 5.0.1.3
00:00:00  1646MB         | loading plugins from //jfpsohostorage/plugins$/Maya_Plugins/Maya_2018/MtoA/shaders ...
00:00:00  1648MB         |  hairPhysicalShader_shaders.dll: HairPhysicalShaderDiffuseColorAdapter uses Arnold 5.0.1.3
00:00:00  1647MB         |  hairPhysicalShader_shaders.dll: HairPhysicalShaderSpecularWeightAdapter uses Arnold 5.0.1.3
00:00:00  1648MB         |  hairPhysicalShader_shaders.dll: HairPhysicalShaderSpecularGlossAdapter uses Arnold 5.0.1.3
00:00:00  1649MB         |  hairPhysicalShader_shaders.dll: HairPhysicalShaderTransmissionWeightAdapter uses Arnold 5.0.1.3
00:00:00  1646MB         |  hairPhysicalShader_shaders.dll: HairPhysicalShaderTransmissionSpreadAdapter uses Arnold 5.0.1.3
00:00:00  1646MB         |  lookdevkit_shaders.dll: ldkFloatConstant uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkFloatComposite uses Arnold 5.0.1.3
00:00:00  1646MB         |  lookdevkit_shaders.dll: ldkFloatCondition uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkFloatCorrect uses Arnold 5.0.1.3
00:00:00  1646MB         |  lookdevkit_shaders.dll: ldkFloatLogic uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkFloatMask uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkFloatMath uses Arnold 5.0.1.3
00:00:00  1648MB         |  lookdevkit_shaders.dll: ldkColorComposite uses Arnold 5.0.1.3
00:00:00  1649MB         |  lookdevkit_shaders.dll: ldkColorCondition uses Arnold 5.0.1.3
00:00:00  1649MB         |  lookdevkit_shaders.dll: ldkColorConstant uses Arnold 5.0.1.3
00:00:00  1645MB         |  lookdevkit_shaders.dll: ldkColorCorrect uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkColorLogic uses Arnold 5.0.1.3
00:00:00  1646MB         |  lookdevkit_shaders.dll: ldkColorMask uses Arnold 5.0.1.3
00:00:00  1646MB         |  lookdevkit_shaders.dll: ldkColorMath uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkChannels uses Arnold 5.0.1.3
00:00:00  1647MB         |  lookdevkit_shaders.dll: ldkPremultiply uses Arnold 5.0.1.3
00:00:00  1648MB         |  lookdevkit_shaders.dll: ldkSimplexNoise uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaMultiplyDivide uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaClamp uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaGammaCorrect uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaCondition uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaReverse uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaBlendColors uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaSamplerInfo1D uses Arnold 5.0.1.3
00:00:00  1645MB         |  mtoa_shaders.dll: MayaSamplerInfo2D uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaPlusMinusAverage1D uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaPlusMinusAverage2D uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaPlusMinusAverage3D uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaRemapValueToValue uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaRemapValueToColor uses Arnold 5.0.1.3
00:00:00  1649MB         |  mtoa_shaders.dll: MayaRemapColor uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaFile uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaPlace2DTexture uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaRamp uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaProjection uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaChecker uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaBulge uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaCloth uses Arnold 5.0.1.3
00:00:00  1646MB         |  mtoa_shaders.dll: MayaGrid uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaFractal uses Arnold 5.0.1.3
00:00:00  1647MB         |  mtoa_shaders.dll: MayaNoise uses Arnold 5.0.1.3
00:00:00  1648MB         |  mtoa_shaders.dll: MayaPlace3DTexture uses Arnold 5.0.1.3
